rho_set,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
-0.45,0,10,0,10,0,0,10,0,10,0,0,0,-0.45,-0.338018451956668,0.111981548043332,-0.111981548043332,1.00065722097576,1.15451962949781,-0.452595506881803,-0.001414808950046,-0.465017768225712,-0.441720648234192,-0.003380940434202,-4.99731959335958E-05
-0.4,0,10,0,10,0,0,10,0,10,0,0,0,-0.4,-0.300807136285267,0.099192863714733,-0.099192863714733,1.00874513327007,1.16262685361895,-0.404605665247521,-0.001889975100222,-0.416608682271038,-0.384422106099344,-0.006625915684732,-6.00608039590136E-05
-0.35,0,10,0,10,0,0,10,0,10,0,0,0,-0.35,-0.262371643080681,0.087628356919319,-0.087628356919319,0.995385649067705,1.1499766640612,-0.344125745418223,-0.001331765961337,-0.359815618877359,-0.331863166240314,-0.00330327609143,-1.42723385578464E-05
-0.3,0,10,0,10,0,0,10,0,10,0,0,0,-0.3,-0.225247852073802,0.074752147926198,-0.074752147926198,1.002346951064,1.15717193261089,-0.295604679028782,-0.00124347030363,-0.318313192069484,-0.280155810201406,-0.00300901359028,-9.4957850524795E-05
-0.25,0,10,0,10,0,0,10,0,10,0,0,0,-0.25,-0.18747493532705,0.06252506467295,-0.06252506467295,1.0034073553026,1.15851953795446,-0.251236284551193,-0.001723243809152,-0.2754695434887,-0.22645755021779,-0.002534237246896,-0.000391082904018
-0.2,0,10,0,10,0,0,10,0,10,0,0,0,-0.2,-0.149303055681314,0.050696944318686,-0.050696944318686,0.99277145433218,1.14833074792392,-0.191122284939989,-0.001076885644101,-0.217956237807465,-0.148024243943984,-0.002622294764804,-0.000108237156399
-0.15,0,10,0,10,0,0,10,0,10,0,0,0,-0.15,-0.112533285960694,0.037466714039306,-0.037466714039306,0.997953960914711,1.15196880674,-0.153669888025331,-0.001356370963789,-0.170238316441049,-0.125447423518867,-0.003619123439348,-0.00039387843509
-0.1,0,10,0,10,0,0,10,0,10,0,0,0,-0.1,-0.0746403561237,0.0253596438763,-0.0253596438763,0.994600531431865,1.1503149002431,-0.103435614153944,-0.001159273581491,-0.112682310544541,-0.072584704228666,-0.005274041904227,-4.91989431617679E-05
-0.05,0,10,0,10,0,0,10,0,10,0,0,0,-0.05,-0.037540387154793,0.012459612845207,-0.012459612845207,0.999406265583482,1.15279436053777,-0.052185863977432,-0.001858623415046,-0.070198709220349,-0.037678978109781,-0.007808861304075,-0.000186617242766
1.11022302462516E-16,5,5,4,6,2,1,10,0,10,0,0,0,1.07701342011109E-16,2.56630457185022E-05,2.56630457183945E-05,0.000391187545915,1.00650161124668,1.16071745263457,0.002154937460678,0.000241485487536,-0.016162908313006,0.01738873111332,-0.009136652960925,0.00776130166351
0.05,10,0,10,0,0,0,10,0,10,0,0,0,0.05,0.037598359697055,-0.012401640302945,-0.012401640302945,1.00583421506375,1.15912162847587,0.043232343107001,0.021410935235736,0.025021052462849,0.053813055446474,0.012803182558503,0.030884230584726
0.1,10,0,10,0,0,0,10,0,10,0,0,0,0.1,0.075180002370839,-0.024819997629162,-0.024819997629162,1.00613262058759,1.16090798731923,0.100383851281382,0.058144838467074,0.081504328552368,0.134502172623363,0.039545999600566,0.088599952593354
0.15,10,0,10,0,0,0,10,0,10,0,0,0,0.15,0.113530105888243,-0.036469894111757,-0.036469894111757,1.00650777715518,1.15966884521778,0.149804808451405,0.092412594039415,0.127415995687583,0.177632868162312,0.071363781101494,0.124786475059401
0.2,10,0,10,0,0,0,10,0,10,0,0,0,0.2,0.149729923790412,-0.050270076209588,-0.050270076209588,0.997847279804726,1.15355036298391,0.18905734806184,0.131605974889473,0.170315102147005,0.21067450190725,0.106823635772554,0.153315647736498
0.25,10,0,10,0,0,0,10,0,10,0,0,0,0.25,0.187585008043966,-0.062414991956035,-0.062414991956035,0.997801358024981,1.15228724098804,0.241812521570883,0.17534615140709,0.214865051266954,0.289947916072584,0.153020250186861,0.210477119558994
0.3,10,0,10,0,0,0,10,0,10,0,0,0,0.3,0.22493782561181,-0.07506217438819,-0.07506217438819,1.00234619708616,1.15727604364282,0.297234045524247,0.230233606423035,0.274465212956164,0.317815291860495,0.198748599013837,0.270737198586505
