N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
41,97301,2699,95283,4717,3196,1178,100000,0,100000,0,0,0,-0.0001139448,0.0047336463,0.0048475911,-0.0009321221,2.5613084243,2.9479786684,0.2693683965,0.1870229824,-0.2438998823,1.3138243826,-0.1580764473,1.3037223633
42,98249,1751,96618,3382,2409,778,100000,0,100000,0,0,0,9.99666504871457E-05,0.0049761512,0.0048761846,-0.0007654548,2.5928969061,2.9843044612,0.2895674946,0.2026641466,-0.2381870372,1.2037276496,-0.1255159315,1.2541294237
43,98949,1051,97687,2313,1793,531,100000,0,100000,0,0,0,7.52223655296665E-06,0.0046698658,0.0046623436,-0.0007848951,2.6218498162,3.0183236625,0.308166284,0.2178709322,-0.2283379052,1.1244185551,-0.1111213735,1.2965782939
44,99374,626,98418,1582,1296,340,100000,0,100000,0,0,0,-5.58451440147492E-05,0.0045841642,0.0046400093,-0.0007031427,2.6532091304,3.0546843492,0.3277141743,0.2338583902,-0.18484813,1.2279090863,-0.1346124193,1.2948855074
45,99631,369,99043,957,795,207,100000,0,100000,0,0,0,-0.0001665247,0.0044637245,0.0046302493,-0.000831142,2.6832441288,3.0888431223,0.3454324998,0.249200462,-0.2306787054,1.2332637701,-0.0981476053,1.3326136009
46,99789,211,99329,671,582,122,100000,0,100000,0,0,0,-0.0001545134,0.0044542708,0.0046087842,-0.0005996468,2.7123765616,3.1230919481,0.3653980057,0.2656177105,-0.1797371548,1.2248145902,-0.1059772313,1.5122625584
47,99888,112,99594,406,368,74,100000,0,100000,0,0,0,1.07299091793769E-05,0.0044940817,0.0044833518,-0.0008398431,2.7433725709,3.1588064108,0.3841893208,0.2815591698,-0.1161113179,1.2807780959,-0.0804471573,1.350577993
48,99937,63,99709,291,268,40,100000,0,100000,0,0,0,-2.12859245805353E-05,0.0043056837,0.0043269697,-0.0008127987,2.7710572495,3.1910066887,0.4022948819,0.297343093,-0.0973047258,1.2489785784,-0.059311938,1.2936818839
49,99977,23,99848,152,147,18,100000,0,100000,0,0,0,0.0001181539,0.0041648461,0.0040466922,-0.0007608379,2.7986461347,3.2231796794,0.4207717429,0.3135889456,-0.0727830075,1.4258464105,-0.0614973094,1.3476961866
50,99990,10,99916,84,84,10,100000,0,100000,0,0,0,-0.0001265834,0.0039135457,0.004040129,-0.0006830186,2.8304265675,3.2592404099,0.4383125754,0.328918991,-0.0462812465,1.3604708128,-0.0634315179,1.6610170118
51,99992,8,99952,48,45,5,100000,0,100000,0,0,0,7.57284536018991E-05,0.0039685587,0.0038928303,-0.0006837854,2.8575054194,3.2906657658,0.457793909,0.346833115,-0.0772302996,1.3449464636,-0.0476572223,1.3686512278
52,99995,5,99981,19,18,4,100000,0,100000,0,0,0,9.10707406445656E-05,0.0037783253,0.0036872545,-0.0007625883,2.8852659813,3.3224767789,0.4744127998,0.3619986222,-0.0530605846,1.3984371982,-0.0529211594,1.3444543019
53,99999,1,99987,13,13,1,100000,0,100000,0,0,0,1.98879043644019E-06,0.0038277233,0.0038257345,-0.0007121931,2.9122166102,3.3544896088,0.491354186,0.3775146799,-0.0218106009,1.4089017748,-0.0321611653,1.3524326599
54,100000,0,99997,3,3,0,100000,0,100000,0,0,0,-8.39712024800501E-05,0.0036531519,0.0037371231,-0.0007159472,2.938908309,3.3854768935,0.5089533262,0.3935610054,0.032980406,1.3791368004,-0.0059232896,1.5415839605
55,100000,0,99998,2,2,0,100000,0,100000,0,0,0,0.0001202864,0.0038017284,0.003681442,-0.0006633634,2.9663408132,3.4173663168,0.5253958159,0.4084548847,0.040832948,1.4055009199,-0.0189546764,1.5597181507
56,100000,0,100000,0,0,0,100000,0,100000,0,0,0,3.21386784379564E-05,0.0036660934,0.0036339547,-0.0007299944,2.9932704881,3.4484690315,0.5424880633,0.4246458016,0.0068644838,1.5779082247,6.51826282939321E-05,1.3775347913
57,100000,0,99999,1,1,0,100000,0,100000,0,0,0,-6.84021298606095E-05,0.0035366376,0.0036050397,-0.0005998526,3.0210153047,3.4798892975,0.5592777582,0.4402090414,0.0761002495,1.4889142022,-0.0047055711,1.5154966926
58,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-6.51869043613331E-05,0.0034034239,0.0034686108,-0.0005905463,3.0470447052,3.5102211731,0.5756087926,0.4557355733,0.0811519744,1.5276274582,0.015829942,1.6259176043
59,100000,0,100000,0,0,0,100000,0,100000,0,0,0,9.87417805633146E-06,0.0034282089,0.0034183347,-0.0006714036,3.073266482,3.5407970346,0.5923651635,0.4725735688,0.1327214131,1.4980387303,0.0118514001,1.5523745981
60,100000,0,100000,0,0,0,100000,0,100000,0,0,0,4.91703854441588E-05,0.0033968477,0.0033476773,-0.0006325729,3.0982152346,3.5697732317,0.6088570659,0.4863656157,0.1296774642,1.6497361917,0.0119358855,1.6532440174
