"","rho_set","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1","A0_eig","A1_eig","LCI_A0","UCI_A0","LCI_A1","UCI_A1"
"26",0.35,9986,14,9955,45,39,8,10000,0,10000,0,0,0,0.35,0.262135880896269,-0.0878641191037313,-0.0878641191037313,1.09523668082534,1.26024565530462,0.330276948903155,0.248056815536272,-0.0442143377519576,1.09097726573173,-0.0508839152288792,1.0089476800219
"27",0.4,9999,1,9987,13,12,0,10000,0,10000,0,0,0,0.4,0.299442278798009,-0.100557721201991,-0.100557721201991,1.09707258862558,1.26330192196742,0.381397441082921,0.296896804053774,-0.0231915637509594,1.22954811746617,-0.0330292483375037,1.10103713239215
"28",0.45,10000,0,9998,2,2,0,10000,0,10000,0,0,0,0.45,0.336895251146323,-0.113104748853677,-0.113104748853677,1.09804567596638,1.26312119146127,0.434119736959545,0.343522947838689,0.0325271086294711,1.24363254507362,-0.00460054581804148,1.11159859574894
"29",0.5,10000,0,9999,1,1,0,10000,0,10000,0,0,0,0.5,0.374068035619902,-0.125931964380098,-0.125931964380098,1.09498535613323,1.26034318117166,0.480149498432678,0.38918898545281,0.0376805295662012,1.51918451585838,-0.000512516485423342,1.17820580670025
"30",0.55,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.55,0.411463601345518,-0.138536398654482,-0.138536398654482,1.09557828088478,1.26206156877131,0.531247018937232,0.439393827119895,0.0849561217171628,1.26217000946058,0.0431127817107262,1.26825471321219
"31",0.6,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.6,0.449128892050021,-0.150871107949979,-0.150871107949979,1.09482494755354,1.25994396803939,0.580420543452517,0.487517903782343,0.046659326670652,1.44494961824252,0.0393863987122362,1.52651218308717
"32",0.65,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.65,0.486391050592278,-0.163608949407722,-0.163608949407722,1.0944303118838,1.25967236143781,0.631252725635274,0.539373223402867,0.14157476717112,1.59875100653411,0.100799171361827,1.65922732413762
"33",0.7,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.7,0.523009159615103,-0.176990840384897,-0.176990840384897,1.0945076039106,1.26021944367928,0.679841465194371,0.587742089473474,0.157327325526108,1.94332905234277,0.109130820590033,2.03988810125946
"34",0.75,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.75,0.560726536782451,-0.189273463217549,-0.189273463217549,1.09396309989808,1.25990155309104,0.72893596204609,0.63829645727397,0.242784324930547,1.56004285498621,0.157880697549071,1.63960603315474
"35",0.8,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.8,0.598137363108087,-0.201862636891913,-0.201862636891913,1.09383106692489,1.25889958758195,0.777265834490068,0.689897831875402,0.269196579114727,2.02321412373538,0.178040037367215,1.91077762253498
"36",0.85,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.85,0.635680686590565,-0.214319313409435,-0.214319313409435,1.09338741978217,1.25916332203816,0.829476893833489,0.743843959504304,0.284331349343246,1.72734015343804,0.226907012820523,1.67483737292507
"37",0.9,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.9,0.672482755984135,-0.227517244015865,-0.227517244015865,1.09299078782769,1.25931342035951,0.88031313793055,0.794075772478359,0.339926793382088,1.68590866871231,0.243139308819513,1.69318982645621
