"","rho_set","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1"
"13",-0.3,1312,8688,1327,8673,134,149,10000,0,10000,0,0,0,-0.3,-0.225288739618453,0.0747112603815466,-0.0747112603815466,1.34136174439779,1.54519070291622
"14",-0.25,2723,7277,2696,7304,345,318,10000,0,10000,0,0,0,-0.25,-0.187087512533261,0.0629124874667388,-0.0629124874667388,1.34092344602501,1.54535065932095
"15",-0.2,4708,5292,4521,5479,685,498,10000,0,10000,0,0,0,-0.2,-0.149839502530511,0.0501604974694892,-0.0501604974694892,1.34164846036455,1.54547967801692
"16",-0.15,6977,3023,6538,3462,951,512,10000,0,10000,0,0,0,-0.15,-0.112425168505211,0.037574831494789,-0.037574831494789,1.3402591750006,1.54357390464841
"17",-0.1,8702,1298,8187,1813,872,357,10000,0,10000,0,0,0,-0.1,-0.0748417207292702,0.0251582792707298,-0.0251478027916279,1.34045662591519,1.54518093991467
"18",-0.0499999999999999,9620,380,9319,681,449,148,10000,0,10000,0,0,0,-0.0499999999999999,-0.0375779497852943,0.0124220502147057,-0.011780343561026,1.34175137008778,1.54544260311206
"19",0,9925,75,9775,225,190,40,10000,0,10000,0,0,0,-1.13169023984634e-19,-1.78235124201251e-05,-1.7823512420125e-05,0.0165190183110896,1.34186119053192,1.54626055255292
"20",0.05,9994,6,9955,45,42,3,10000,0,10000,0,0,0,0.05,0.0375225170274685,-0.0124774829725315,-0.011852868248295,1.33944565982714,1.54453248412155
"21",0.1,9998,2,9995,5,5,2,10000,0,10000,0,0,0,0.1,0.0751636007232046,-0.0248363992767953,-0.0248289881924935,1.33956259271892,1.54447031107284
"22",0.15,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.15,0.111886319729062,-0.0381136802709377,-0.0381136802709377,1.34179256999334,1.54599925604235
"23",0.2,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.2,0.149480390994632,-0.0505196090053684,-0.0505196090053684,1.34026288299754,1.54535302037395
"24",0.25,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.25,0.187474720805903,-0.0625252791940966,-0.0625252791940966,1.34137672216944,1.54561459860576
"25",0.3,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.3,0.224768259485478,-0.0752317405145224,-0.0752317405145224,1.34013379708209,1.54418771532976
"26",0.35,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.35,0.262228512088257,-0.0877714879117426,-0.0877714879117426,1.34085775984205,1.54512638107927
"27",0.4,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.4,0.299480294874711,-0.100519705125289,-0.100519705125289,1.34091760934261,1.54471177569247
"28",0.45,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.45,0.336180268245997,-0.113819731754003,-0.113819731754003,1.33997444164393,1.54445535675727
"29",0.5,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.5,0.374159557278094,-0.125840442721906,-0.125840442721906,1.34066072299888,1.54516287470183
"30",0.55,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.55,0.411292301488634,-0.138707698511366,-0.138707698511366,1.33863861701732,1.54310300532915
"31",0.6,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.6,0.449288294829329,-0.150711705170671,-0.150711705170671,1.34216782951223,1.5461595602594
"32",0.65,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.65,0.486412416253022,-0.163587583746978,-0.163587583746978,1.34179013960884,1.54659681074135
"33",0.7,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.7,0.524258213603905,-0.175741786396095,-0.175741786396095,1.34208253738224,1.54647659918981
"34",0.75,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.75,0.561382679697045,-0.188617320302955,-0.188617320302955,1.34101310072936,1.54558113716399
"35",0.8,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.8,0.599167016274244,-0.200832983725756,-0.200832983725756,1.33956901359217,1.54395831631093
"36",0.85,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.85,0.636363246606552,-0.213636753393448,-0.213636753393448,1.34037535258902,1.54497517152586
"37",0.9,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.9,0.672736183234823,-0.227263816765177,-0.227263816765177,1.33924898457945,1.54405310855156
