S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible,A_rho,M_rho,rho_diff,rho_abs,complex_A,complex_M,A_eig,M_eig,LR_A,UR_A,LR_M,UR_M
19,98400,1600,96815,3185,2310,725,100000,0,100000,0,0,0,7.28491144848928E-08,0.000166328431162,0.000166255582047,-0.002302636511546,2.29936389706271,2.86269196160977,0.633719752653196,0.45703966071656,-0.438684281426191,2.75573080831825,-0.298488557726171,3.24872682350402
20,99231,769,98138,1862,1470,377,100000,0,100000,0,0,0,-0.000576468678054,-0.000592745006826,-1.62763287721649E-05,-0.002340331230039,2.36034893072455,2.93948282303047,0.698799253038752,0.512802603752615,-0.430812608944117,2.84131512586917,-0.258692155955866,3.43670465311024
21,99669,331,98961,1039,877,169,100000,0,100000,0,0,0,0.000215739383661,0.000169372804306,-4.6366579354243E-05,-0.001951604379708,2.42107226130338,3.01555677447435,0.762999018039144,0.568606897217566,-0.298607367426857,3.08113133453933,-0.213854165232692,3.3448208354887
22,99865,135,99490,510,454,79,100000,0,100000,0,0,0,0.000142924965854,0.000180774928384,3.78499625298912E-05,-0.002148324590505,2.47913844188089,3.08890562646654,0.82758900387184,0.626333365084871,-0.267880082439025,3.58728213044255,-0.183229109799447,3.54411768962505
23,99943,57,99758,242,225,40,100000,0,100000,0,0,0,-0.000184091483716,-7.89644823899276E-05,0.000105127001326,-0.001531663871142,2.53635309868348,3.16070534022907,0.886603036575313,0.680528320997889,-0.249452428252373,3.14122382999684,-0.219073800628767,3.64660768152958
24,99980,20,99880,120,114,14,100000,0,100000,0,0,0,8.57523811037035E-05,-0.000285355144139,-0.000371107525243,-0.001358217583033,2.59302871533136,3.23172195698366,0.946010160238333,0.735971129710206,-0.143621822516864,3.44046924162729,-0.18781962253607,4.02083526287392
25,99993,7,99955,45,44,6,100000,0,100000,0,0,0,-1.80624488127703E-05,-0.000122374246508,-0.000104311797695,-0.001598701046025,2.64485606964569,3.29843126853832,1.00513964778144,0.788578180277357,-0.04792820746505,3.59935988325731,-0.081023688780677,4.13960838691986
26,100000,0,99978,22,22,0,100000,0,100000,0,0,0,-9.95280497662623E-05,-0.000105774199591,-6.2461498249484E-06,-0.001314176643716,2.69940903832168,3.36546855740552,1.0619512685533,0.844242365310201,0.021939951972948,3.33124621403374,-0.058700548915048,3.6406245147375
27,100000,0,99994,6,6,0,100000,0,100000,0,0,0,0.000316412375302,0.000292265371716,-2.41470035856446E-05,-0.001121494040636,2.75380466812447,3.43305822585263,1.11796275398421,0.899966367657557,0.049418537770137,3.68321418492122,-0.024890843794501,4.02183477688362
28,100000,0,99997,3,3,0,100000,0,100000,0,0,0,6.31061946251823E-05,-1.0195080219917E-05,-7.33012748450991E-05,-0.00130081206357,2.80536941295929,3.49802459139878,1.17405051952383,0.95198109588206,0.117184433612683,3.56278788888287,-0.018128720179593,4.11988418058405
