S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible,A_rho,M_rho,rho_diff,rho_abs,complex_A,complex_M,A_eig,M_eig,LR_A,UR_A,LR_M,UR_M
20,99201,799,97821,2179,1774,394,100000,0,100000,0,0,0,0.000132913345845,-1.20909045975017E-05,-0.000145004250442,-0.001108121875848,2.67497200646506,3.19953470823051,0.793034380710659,0.579870443977193,-0.628774757592934,3.4483847522745,-0.297539028477977,3.53520776836864
21,99690,310,98800,1200,1059,169,100000,0,100000,0,0,0,0.000154871383423,-0.000129031549134,-0.000283902932557,-0.000992125100754,2.7373150706304,3.27697170690258,0.862558542380104,0.641453661246343,-0.344157551457465,4.65256654680895,-0.348915433733386,4.46432892078404
22,99872,128,99346,654,607,81,100000,0,100000,0,0,0,0.000249236318094,4.12901491707776E-05,-0.000207946168923,-0.00082086408621,2.80019558690993,3.3535288437581,0.933190386504495,0.704209117004627,-0.293886313253653,4.05852543202994,-0.292541327172186,4.37254860757563
23,99952,48,99641,359,345,34,100000,0,100000,0,0,0,-7.84098904819485E-06,0.000242415630603,0.000250256619651,-0.000869153959889,2.85911835251426,3.42703835040359,1.00038167428882,0.767269485998365,-0.256715206573616,3.88601271383467,-0.260089153879348,3.77693129677584
24,99981,19,99841,159,153,13,100000,0,100000,0,0,0,6.01597076995511E-05,7.24138418740127E-05,1.22541341744616E-05,-0.00058096822449,2.91784735346545,3.49868211600344,1.06707738612161,0.828039137601233,-0.113183838723058,3.91121423403756,-0.153532354708545,4.02538983934668
25,99995,5,99919,81,81,5,100000,0,100000,0,0,0,-7.78810727475191E-05,-0.000122543937601,-4.46628648538528E-05,-0.000638297489406,2.97295596155113,3.56714173733851,1.12898219011143,0.890721824440248,-0.131787997598966,4.40429474517031,-0.227233111744101,4.56429315553319
26,100000,0,99952,48,48,0,100000,0,100000,0,0,0,-0.000152604405457,-0.000178428448655,-2.58240431984596E-05,-0.000545884028507,3.02722347511966,3.63496835304729,1.19005753726534,0.948975551016481,0.035969235551523,4.2078469382554,-0.085368068023442,4.85934197172779
27,100000,0,99984,16,16,0,100000,0,100000,0,0,0,0.00019134063609,0.000107516136055,-8.38245000350715E-05,-0.000622274782694,3.08079188120959,3.70192653037608,1.25056011470207,1.01034603964854,0.052449889542711,4.39803138699459,-0.070093848679296,5.3138688514168
28,99998,2,99998,2,2,2,100000,0,100000,0,0,0,9.94498714464078E-05,0.000273071273417,0.00017362140197,-0.000400849996895,3.13342867637026,3.76700066329659,1.30937747815659,1.07258523175596,-0.056704514216489,4.17270875168661,-0.046234559004744,4.45193191663535
29,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.00013165644552,-6.96382811494956E-05,-0.000201294726669,-0.000514198578645,3.19061750207437,3.83552293521575,1.37002778673662,1.13269637891841,0.122663824153822,4.18827227432761,0.003091818660717,4.50659540740339
30,100000,0,99999,1,1,0,100000,0,100000,0,0,0,-9.17450493856666E-05,-4.30695318681222E-05,4.86755175175444E-05,-0.000428532613823,3.23721020613875,3.89546519712005,1.4266980668327,1.19317230354778,0.188132254962789,4.48098994178906,-0.011014624348735,4.31277643987157
31,100000,0,99999,1,1,0,100000,0,100000,0,0,0,-0.000103444672328,-9.95395053003394E-05,3.90516702781207E-06,-0.000279605146542,3.28687100444102,3.956904949661,1.48026407269074,1.24949910055429,0.270562481225866,4.27155483933852,-0.013817761279367,5.30039762172143
