beta,S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible,A_rho,M_rho,rho_diff,rho_abs,complex_A,complex_M,A_eig,M_eig,LCI_A,UCI_A,LCI_M,UCI_M,C
0.1,120,999546,454,999275,725,475,204,1000000,0,1000000,0,0,0,8.7224105288819E-05,4.94225536280626E-05,-3.78015516607567E-05,-0.0001341868,1.2687142399,1.4634587277,0.3768690313,0.3143644614,-0.1182485419,1.5572799984,-0.0498667023,1.7575624915,0.0922778504
0.1,144,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,6.54335630843625E-05,0.000064542,-8.91584732765858E-07,-8.83051342746397E-05,1.3890356214,1.6025899851,0.4977844557,0.4336976438,0.0034009682,1.4614421302,0.0035912322,1.9880784247,0.0907489189
0.1,168,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,2.17987711476087E-05,4.20406930487441E-05,2.02419219011358E-05,-0.000061443,1.4994818362,1.7302649138,0.608347347,0.5476479561,0.1227160557,1.5937937651,0.0635835555,2.1513780839,0.0896598472
0.25,24,23654,976346,23775,976225,8,129,1000000,0,1000000,0,0,0,0.0003450818,0.0003696676,2.45857346221227E-05,-0.0031161812,0.5722184696,0.6546852691,-0.3849604623,-0.0684554167,-1.3044222967,0.7072531633,-0.8140102076,0.8512062678,0.1296712428
0.25,48,228318,771682,231208,768792,1812,4702,1000000,0,1000000,0,0,0,-6.94916169711387E-05,5.89793123418985E-05,0.0001284709,-0.0006954467,0.8033257334,0.9244966465,-0.1154658462,-0.0054853581,-0.7639272066,0.88601968,-0.4327551702,1.1934006564,0.1055258644
0.25,72,666982,333018,669104,330896,18264,20386,1000000,0,1000000,0,0,0,2.57094621231194E-05,-3.60272798618984E-05,-6.17367419850177E-05,-0.000282612,0.9808676251,1.1304109107,0.0728436497,0.0695802128,-0.4902132887,1.0240709753,-0.1970825437,1.3508751235,0.0977065982
0.25,96,966456,33544,961545,38455,12326,7415,1000000,0,1000000,0,0,0,-3.4152839636135E-05,-1.55932234505483E-05,1.8559616185587E-05,-0.0002243016,1.1307840572,1.3039451804,0.2250892073,0.1752709826,-0.2691989561,1.2963078567,-0.0990725098,1.639852863,0.0938392228
0.25,120,999749,251,999507,493,352,110,1000000,0,1000000,0,0,0,-4.99062338033448E-05,-6.96941616839837E-05,-1.97879278806394E-05,-0.0001037378,1.263232684,1.4571505797,0.3560440772,0.2921003605,-0.0985062464,1.2908135907,-0.0417611302,1.6852122726,0.0915316007
0.25,144,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,1.0127657076637E-05,1.56058468221853E-06,-8.56707239441852E-06,-6.61812560537556E-05,1.3827641967,1.5953247966,0.4733686201,0.4065696918,0.0588871217,1.4327696417,0.0103290953,2.1267889268,0.0899986517
0.25,168,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,3.64206727716901E-05,9.8256886073517E-06,-0.000026595,-2.30852356094698E-05,1.4926699696,1.7224505919,0.5802686362,0.5154755487,0.1653895128,1.4777704744,0.0811149316,1.9836733971,0.0889064323
1,24,26331,973669,26478,973522,14,161,1000000,0,1000000,0,0,0,-0.0001319672,-8.40538827966236E-05,4.79132722408493E-05,-0.0029313525,0.5561012585,0.6356654612,-0.3939941127,-0.0682470547,-1.2736597714,0.7642991542,-0.7903174353,1.1182609805,0.1249651486
1,48,211199,788801,214154,785846,2030,4985,1000000,0,1000000,0,0,0,-0.0001022911,-7.51647614347632E-05,2.71263580327782E-05,-0.000649478,0.7720341865,0.888130165,-0.1290251003,-0.0078259615,-0.8097894335,0.9262218774,-0.3957997716,1.200866973,0.0991369787
1,72,613621,386379,615771,384229,19396,21546,1000000,0,1000000,0,0,0,-3.75522347437816E-05,-4.93153434724054E-05,-1.17631087286239E-05,-0.0003124506,0.9394911975,1.0825565534,0.0539405363,0.0595683385,-0.5103334404,1.1500626971,-0.2260288691,1.5223591865,0.0908152707
1,96,943191,56809,936396,63604,18025,11230,1000000,0,1000000,0,0,0,5.764656121449E-05,-1.43963610733164E-05,-7.20429222878064E-05,-0.0001429934,1.0812364013,1.2466510156,0.2012526272,0.1551678496,-0.2773216839,1.1446525613,-0.1471754419,1.568675297,0.08670467
