"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1"
"43",43,98914,1086,97653,2347,1801,540,1e+05,0,1e+05,0,0,0,-9.81831846012321e-05,0.00482083175781682,0.00491901494241805,-0.000905932938947402,2.62396439133543,3.02032469277164
"44",44,99332,668,98469,1531,1249,386,1e+05,0,1e+05,0,0,0,9.3179497933217e-05,0.00462803112396071,0.0045348516260275,-0.000851493222524818,2.65317501603026,3.05427604113712
"45",45,99624,376,98974,1026,888,238,1e+05,0,1e+05,0,0,0,7.64163812561624e-05,0.00453502486886548,0.00445860848760931,-0.00081700387191431,2.68179843817934,3.0879869633162
"46",46,99789,211,99342,658,589,142,1e+05,0,1e+05,0,0,0,0.000137535461049405,0.00446257693993707,0.00432504147888767,-0.000621729791062687,2.7130237161272,3.12356829070119
"47",47,99882,118,99574,426,382,74,1e+05,0,1e+05,0,0,0,0.000203396789297908,0.0044664637647182,0.00426306697542029,-0.000549746326814886,2.74272205238575,3.15770006337905
"48",48,99951,49,99755,245,224,28,1e+05,0,1e+05,0,0,0,-1.14336894470372e-05,0.00419533556613937,0.0042067692555864,-0.000748759999105844,2.77067575237781,3.1904517690997
"49",49,99975,25,99884,116,108,17,1e+05,0,1e+05,0,0,0,0.000152249463301819,0.00411416355348477,0.00396191409018295,-0.000624240655546346,2.80098806147433,3.22501423276024
"50",50,99978,22,99902,98,91,15,1e+05,0,1e+05,0,0,0,-4.25937119518535e-05,0.00402905578422244,0.0040716494961743,-0.000622065355717514,2.8268538272681,3.25589227135082
"51",51,99990,10,99959,41,39,8,1e+05,0,1e+05,0,0,0,2.0729693987404e-05,0.00394109967388884,0.00392036997990144,-0.000733694649284337,2.85586047615978,3.28961177656965
"52",52,99997,3,99983,17,16,2,1e+05,0,1e+05,0,0,0,0.000176845675470715,0.00400476228356196,0.00382791660809124,-0.000717245939243177,2.88419656328694,3.32178833749155
"53",53,99999,1,99988,12,12,1,1e+05,0,1e+05,0,0,0,4.07220422441322e-05,0.00386484046702412,0.00382411842477999,-0.000679635856289025,2.91109081925264,3.35345439110958
"54",54,1e+05,0,99994,6,6,0,1e+05,0,1e+05,0,0,0,-0.00011824621564053,0.00363832341527795,0.00375656963091848,-0.00065244305467265,2.94033068407319,3.38671820446138
"55",55,1e+05,0,99999,1,1,0,1e+05,0,1e+05,0,0,0,-0.000120836609596565,0.00357373085700763,0.0036945674666042,-0.0006666592261167,2.96594394358781,3.41683144119087
"56",56,1e+05,0,99999,1,1,0,1e+05,0,1e+05,0,0,0,-3.53323702801654e-05,0.00356406256442247,0.00359939493470264,-0.000572755700787936,2.99360816862418,3.44835529222533
"57",57,1e+05,0,99999,1,1,0,1e+05,0,1e+05,0,0,0,6.54187155914214e-06,0.00357470784733841,0.00356816597577927,-0.000769511177956297,3.01941773259786,3.47865103329409
"58",58,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0,-7.959090762779e-06,0.00345842862693143,0.00346638771769421,-0.00056773515833325,3.04594671275287,3.50955251285769
"59",59,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0,8.7817616613838e-05,0.00345191418554468,0.00336409656893084,-0.000627371769654368,3.07277653959954,3.54032234835957
"60",60,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0,3.26713176403445e-05,0.00335643735864328,0.00332376604100293,-0.000686798986354518,3.09874577536,3.57012805355628
